순위,제목,저자,출판사,요약
62,R까기2: R 입문용 통계와 R을 함께 배우는  데이터 전문가 시리즈 1 ,박찬성,느린생각,"R입문서로서 통계와 IT기술을 함께 배울 수 있도록 구성된 『R까기』 제2권 R 입문용. 서버개발자, UI개발자, 데이터베이스 설계자, 통계학자, 사회과학자, 게임 개발자, 의학 종사자 등 데이터를 다루는 모든"
63,빅데이터 활용사전 419 양장본 HardCover ,윤종식,데이터에듀,"[빅데이터 프로젝트 기획에서 활용까지 한권으로 끝내는 빅데이터 활용 필독서]
‘빅데이터 활용사전 419’
4차산업 혁명으로 생성된 빅데이터는 수 없이 많이 언급되고 있지만, 빅데이터 자체가 무엇인지 또 그"
64,헬로 데이터 과학 MS 본사 데이터 과학자가 알려주는 ,김진영,한빛미디어,"이 책은 ‘우리 모두를 위한 데이터 과학’을 이야기한다. 필자가 전달하고자 하는 주된 메시지는 우리 주변에 이미 데이터를 수집하고 분석할 수 있는 다양한 수단이 존재하며, 데이터를 활용하여 삶과 업무를"
65,R을 활용한 데이터 시각화 ProgrammingInsight ,유충현,인사이트,"『R을 활용한 데이터 시각화』는 데이터 분석과 데이터 시각화를 위한 언어, R이 제공하는 다양한 함수를 통해서 데이터를 인상적인 그래프나 플롯으로 표현하는 방법을 알려준다. 아울러 사용자정의 함수를"
66,앤더슨의 통계학 데이터 분석을 위해 엑셀로 100% 구현된 ,David R. Anderson,한올,▶ 이 책은 통계학에 대해 다룬 이론서입니다. 통계학의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
67,만화로 쉽게 배우는 회귀분석,Shin Takahashi,성안당,"어느 카페의 음료수 판매량이 온도에 따라 변한다면, 이들 두 변수 사이의 함수관계를 추정하여 매출액을 예측할 수 있고, 온도가 판매량에 미치는 영향도 분석할 수 있을 것이다. 이처럼 회귀분석은 변수들"
68,전기수학 만화로 쉽게 배우는 ,다나카 켄이치,성안당,"수학과 전기의 기초 지식을 풀이한 전기수학 필독서!! 

전기회로나 전기자기 등 전기기초를 공부할 때 수학이 적잖이 나와서 공부하는 데 지장이 있던 경험이 있었을 것이다. 전기공학이나 전자공학 등은"
69,제어시스템 분석과 MATLAB 및 SIMULINK의 활용 5판 ,정슬,청문각 교문사 , 
70,질적 자료 분석: Nvivo 12 박종원 질적 연구 총서 시리즈 13 ,박종원,형설출판사,▶ NVivo 12의 추가된 핵심적 기능 7가지에 관한 내용을 담은 전문서적입니다.
71,Amos 구조방정식 모형: 기초편 허준의 쉽게 따라하는 ,허준,한나래,『Amos 구조방정식 모형: 기초편』은 누구나 쉽게 Amos를 이용하여 구조방정식 모형을 따라해 볼 수 있도록 제작된 책이다. 초보 분석자에게 눈높이를 맞춰 어려운 수식은 최대한 줄이고 그림과 자세한 설명글로
72,Amos 구조방정식 모형: 고급편 허준의 쉽게 따라하는 ,허준,한나래,『Amos 구조방정식 모형: 고급편』은 누구나 쉽게 Amos를 이용하여 구조방정식 모형을 따라해 볼 수 있도록 제작된 책이다. 고급편에서는 기초편보다 활용 해보기 어려운 다양한 내용들이 수록되어 있다. 결측값
73,R을 이용한 다층모형,백영민,한나래아카데미,다층모형은 적용분야가 매우 광범위함에도 불구하고  적어도 사회과학 분과에서  그다지 널리 사용되지 않고 있다. 여러 원인이 있겠지만 다층모형을 추정하는 데이터 분석 프로그램에 접근하기 쉽지 않은 것이
74,Amos 23 통계분석 따라하기 석박사학위 및 학술논문 작성 중심의  2판  CD1장포함  양장본 HardCover ,신건권,청람,▶ 이 책은 Amos 23 통계분석에 대해 다룬 도서입니다. Amos 23 통계분석의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
75,Mplus 7.0 구조방정식모델 CD1장포함  양장본 HardCover ,배병렬,청람,▶ 이 책은 Mplus 7.0 구조방정식모델에 대해 다룬 이론서입니다. Mplus 7.0 구조방정식모델의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
76,Amos 24 구조방정식모델링 CD1장포함  양장본 HardCover ,배병렬,청람,▶ 이 책은 Amos 24 구조방정식모델링에 대해 다룬 도서입니다. Amos 24 구조방정식모델링의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
77,텍스트 마이닝 Text Mining ,송민,청람,▶ 이 책은 텍스트 마이닝 Text Mining 에 대해 다룬 도서입니다. 텍스트 마이닝의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
78,Amos 24 고급 구조방정식모델링 CD1장포함  양장본 HardCover ,배병렬,청람,▶ Amos 24 고급 구조방정식모델링에 관한 내용을 담은 전문서적입니다.
79,R을 이용한 통계데이터분석 양장본 HardCover ,곽기영,청람,"대학에서 통계학, 연구방법론, 데이터분석 등의 강의를 하고 다양한 통계데이터분석 기법을 연구에 활용하면서 여러 가지 소프트웨어를 사용해왔다. 그러면서 통계 및 데이터분석 프로그래밍 언어인 R을 접하게"
80,클라우드 API를 활용한 빅데이터 분석 에이콘 클라우드 컴퓨팅 시리즈 ,공용준,에이콘출판,[클라우드 API를 활용한 빅데이터 분석]은 퍼블릭 클라우드의 대표인 아마존 AWS와 구글 클라우드 API를 사용하여 빅데이터 분석을 수행하고 실제 서비스까지 올리는 방법에 대해 알려준다. 이 책은 크게 3부로
81,R을 활용한 데이터 과학 프로그래밍 인사이트 ,해들리 위컴,인사이트,"R로 시작하는 데이터 과학의 여정
이 책은 R을 활용하여 원 데이터로부터 지식과 통찰을 끌어내는, 데이터 과학의 분석 기법을 알려주는 길잡이 책이다. R, RStudio와 R 패키지 모음인 tidyverse를"
82,데이터과학 입문,레이철 슈트,한빛미디어,"『데이터 과학 입문ㅇ』은 컬럼비아 대학교 대학원의 데이터과학 입문 16주 강의를 총 16개장으로 옮겨 놓은 데이터과학 입문서다. 책에서는 구글, MS, 이베이 등 데이터과학자들이 사례 분석과 직접 사용하는"
83,웹 데이터 수집의 기술: 입문편,타쿠로 사사키,한빛미디어,웹에는 방대한 데이터가 모인다. 대형 정보관리체계로 유명한 Dell EMC 사의 통계에 따르면 2000년에 6.2엑사바이트였던 데이터가 해마다 증가해 2020년에는 35제타바이트에 달할 것으로 예상하고 있다.
84,빅데이터 기초,Thomas Erl,시그마프레스,"『빅데이터 기초』는 빅데이터를 매우 실무적 차원에서 접근한 도서이다. 무엇보다 이론적인 기술보다는 기업에서 빅데이터에 왜 관심이 있는지, 어떠한 비즈니스 문제를 해결하는 데 도움이 되는지, 이를 위해"
85,리서치와 통계분석 인포마 아카데미 서적 2 ,곽재민,인포마,『리서치와 통계분석』은 데이터를 수집 및 관리하고 기술통계분석에서부터 인과분석에 이르기까지 올바른 통계분석을 적재적소에 활용하여 학술연구를 수행하거나 기업에서 필요한 의사결정정보를 얻는 데 도움을
86,Head First Statistics,돈 그리피스,한빛미디어,"『Head First Statistics』은 데이터 분석에 필요한 확률과 통계를 실생활 예제를 들어 쉽고 재미있게 설명해준다. 통계학을 쉽고 재미있게 배울 수 있는 인지과학 및 학습이론에 기반을 둔 학습법으로, 만화처럼"
87,빅 데이터 분석을 위한 R 프로그래밍,김진성,가메,"이론보다는 예제 중심의 R 프로그래밍 학습서로 다음 내용을 제공합니다.

■ 자료구조 유형 분석과 다양한 형태의 데이터 입출력 방법
■ 탐색적 데이터 분석을 위한 시각화 방법
■ 데이터 전처리와"
88,논문작성을 위한 SPSS 실전 통계분석,유성모,황소걸음 아카데미,실증기반 연구를 토대로 학술논문을 작성하는 초보 연구자를 위한 지침서 『논문작성을 위한 SPSS 실전 통계분석』. 연구자가 추구하는 통계적 분석을 수행하고 그 결과를 해석하는 방법에 대한 것이 주된
89,SPSS 22 매뉴얼 CD1장포함  양장본 HardCover ,이학식,집현재,"이 책은 모두 18개 장으로 구성되어 있다.  첫 3개 장은 SPSS를 활용하기 위한 기초적 내용으로 데이터파일, 기술통계량, 그리고 결과물 다루기 등을 그 내용으로 한다. 제 4장은 통계학의 기초가 부족한 독자들을"
90,SPSS 24 매뉴얼 CD1장포함  양장본 HardCover ,이학식,집현재,"저자들은 논문작성을 위한 자료분석을 하면서, 마케팅조사 실무를 수행 혹은 자문하면서, 그리고 대학원생들에게 조사방법론과 학부생들에게 마케팅조사를 강의하면서 오랫동안 SPSS를 활용해왔다. 저자들은"
91,통계학의 이해 8판  양장본 HardCover ,이용구,율곡출판사,"『통계학의 이해: Excel 실습』은 통계의 기본 개념을 습득하여 통계학에 대한 이해를 돕고자 집필 되었다.1장과 2장에서는 기본적인 통계 개념과 자료에 대한 것을 기술했으며, 이어서 3장에서 6장까지는 기초"
92,알기 쉬운 통계분석 3판 ,성태제,학지사,▶ 이 책은 알기 쉬운 통계분석을 다룬 이론서입니다.
93,지식그래프 데이터사이언스총서 ,김학래,커뮤니케이션북스,사람의 지능을 인공적으로 만들고 기계가 처리하게 하려면 다양한 기술의 조합이 필요하다. 지식그래프는 인공지능을 만들기 위한 대표적 방법으로 지능형 서비스에 폭넓게 활용되고 있다. 『지식그래프』는
94,R 데이터 시각화 쉽게 클릭해서 한번에 만드는!  CD1장포함 ,김지형,북앤에듀,"이 책은 두 가지 목적으로 만들어졌습니다.
1. 자신의 데이터를 한눈에 파악하고, 다른 사람들에게 쉽게 전달하기 위한 적절한 그래프 선택하기 
2. 자신의 데이터로 그래프를 쉽게 잘 만들기 

첫째 목적을"
95,공학 수치해석 MATLAB으로 배우는  개정판 ,방성완,한빛아카데미,"①MATLAB의 기본적인 사용법과 응용 기능 설명
②수치해석의 기초 개념과 이론을 간결하고 명확하게 제시
③실습 내용의 이해를 돕는 실제 MATLAB 화면 제시
④신규 버전에 기반한 MATLAB 문법 및 내용"
96,R을 이용한 생존분석 기초,김재희,자유아카데미,생존데이터는 사건이 발생할 때까지의 시간 구간을 측정한 데이터이다.『R을 이용한 생존분석 기초』은 그런 생존분석의 기초적인 이론과 방법을 설명하고 R 시스템을 이용한 프로그래밍으로 데이터 분석 예를
97,R 데이터 분석 입문 예제로 배우는 ,강현철,자유아카데미,"이 책은 R을 이용하여 통계적 데이터 분석을 수행하고자 하는 다양한 분야의 독자들을 위한 입문서이다. 특히 통계분석의 기본 이론을 빠트리지 않고 서술하려고 노력하였으며, 실제적인 예제들에 대한 R 처리의"
98,표본조사론 2판 ,김재광,자유아카데미,▶ 이 책은 표본조사론에 대해 다룬 도서입니다. 표본조사론의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.
99,SPSS를 이용한 통계분석은 어떻게? 패널 자료 이용  4판 ,남기성,자유아카데미,▶ 이 책은 SPSS를 이용한 통계분석을 다룬 이론서입니다.
