순위,제목,저자,출판사,요약
66,전산세무 1급 2019  EBS 에듀윌 ,박진혁,에듀윌,"전산세무1급 1위
기출 총 85회을 분석한
필수이론&빈출문제로 한 번에 합격! 

<2019 EBS 에듀윌 전산세무 1급>은 저자의 수년간의 강의와 세무사로서의 실무경험에서 나온 노하우를 모두 담고 있다. 또한,"
67,정보처리기능사 실기 기본서 2019  이기적  개정판 ,김명주,영진닷컴,‘2019 이기적 정보처리기능사 실기 기본서’ 도서가 새롭게 출간되었습니다. 시행처의 출제기준 및 출제유형에 맞는 이론과 문제들로 꼭꼭 채워진 도서로 시험에 대비하실 수 있습니다. 수험생들을 위해 제공되는
68,ITQ 인터넷 2020  이기적 ,영진정보연구소,영진닷컴,"본 도서는 최신 출제기준을 적용한 도서로, ITQ 인터넷 시험 경향을 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서이며 올바른 검색방법과 인터넷을 어떻게 활용할 수 있는지 교육 가능하도록"
69,워드프로세서 필기 기본서 2020  이기적 ,이상미,영진닷컴,‘2020 이기적 워드프로세서 필기 기본서’가 출간되었습니다. 본 도서는 필기 시험을 준비하는 수험생을 위한 기본서로서 다년간의 출제 경향을 철저히 분석하여 핵심 이론인 기본서 이론서 와 기출문제로
70,정보처리기술사 이론과 전략 전9권 ,강정배,한국생산성본부,"- 독자대상 : 정보처리기술사 준비생
- 구성 : 이론 + 전략"
71,PMP Pass 6판 ,한동환,피엠인사이드,PMP  Pass는 수험생들 간에 ‘PMP  시험의 바이블’로 불리는 책으로서 이미 국내 최고의 수험서로 인정받은 책입니다. 이 책은 2013년도에 출시된 PMP  Pass의 2019년도 개정판으로서 개정된 PMP  시험에 맞게
72,PMP Agile 바이블  PMBOK 6th Edition  해설서,강정배,시대고시기획,"● PMBOK 6판에 맞춘 핵심 이론 정리
● 출제 경향 분석 및 주요 학습 포인트 제공
● 한 눈에 파악할 수 있는 프로세스별 데이터 흐름도 및 ITO
● 애자일 실행 가이드 포함
● 실무 지식 및 기업 적용 사례"
73,전산회계 1급 기출문제집 2020  에듀윌 ,박진혁,에듀윌,"전산세무회계 베스트셀러 에듀윌! 
기출문제집도 역시 에듀윌!

〈2020 EBS 에듀윌 전산회계 1급 기출문제집〉은 2020년 시험을 준비하는 수험생을 위해 문제와 해설, 백데이터를 2020년에 맞춰 수정하였다."
74,워드프로세서 필기 2020  시나공 Summary ,길벗R&D,길벗,"시험 날짜는 다가오는데 공부할 시간이 없다면? 시나공 SUMMARY 시리즈!

합격에 꼭 필요한 핵심 개념과 이 이론이 어떻게 문제로 출제되는지 확인할 수 있도록 ‘핵심’과 관련하여 출제되었던 모든 문제를"
75,ITQ 엑셀 2010 2019  이공자 ,KIE 기획연구실,아카데미소프트,"- 최근 3개년 시험 분석!
- 고득점 취득을 위한 출제유형 그대로 따라하기 제공!
- 자동채점프로그램 무료 제공!"
76,SW코딩자격 2급 스크래치 이기적 ,이민경,영진닷컴,"본 도서는 한국생산성본부에서 시행하는 SW코딩자격 2급 스크래치 버전 시험을 준비하는 분들이 효과적으로 시험에 대비할 수 있도록 구성된 도서입니다.
SW코딩자격 2급의 출제 기준과 공개 문제를 자세히"
77,데이터 분석 준전문가 ADsP 한 권으로 끝내기 2019 ,김계철,황소걸음 아카데미,"자율학습으로 한 달 완성 가능한 체계적인 구성과 내용
시험에 자주 출제되는 핵심 내용 요약정리
비전공자를 위한 이론 배경지식 설명 + 별도의 문제와 해설
2019년 출제 기준 100%"
78,리눅스마스터 2급 2019  이기적  개정판 ,권소라,영진닷컴,떠오르는 신흥 강자! 리눅스마스터 2급 2019년 도서가 드디어 영진닷컴에서  출간되었습니다. 리눅스마스터 2급을 취득하기 위해 필요한 최대한의 것을 전부 제공해 드립니다. 시행처에서 발표한 출제기준에
79,전산세무 2급 이론+실무 2019  이기적 ,정창화,영진닷컴,2019년 4월부터 변경되는 사항을 모두 적용한 전산세무 도서입니다. 변경된 KcLep 기능 및 디자인을 이미지와 함께 학습하실 수 있습니다. 독학하더라도 이해하기 쉽도록 이론을 상세히 수록하였으며 크게 세
80,ITQ 환상의 콤비 OA Master ver.2010 이기적 ,영진정보연구소,영진닷컴,"본 도서는 최신 출제기준을 적용한 도서로, ITQ 한글, 엑셀, 파워포인트의 시험 경향을 분석하여 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서입니다. 한글, MS Office 모두 ver.2010을 기준으로"
81,정보 보안 1000제,김정재,프리렉,"하루가 다르게 변화하는 4차 산업혁명 시대에 점점 지능화되는 사이버 범죄로부터 국가와 사회, 기업의 정보를 지키는 정보 보안은 나날이 중요성이 커지고 있습니다. 이에 따라, 정보 보안 전문가는 중요한 정보"
82,DIAT 워드프로세서 한글 2010 2019  이공자  스프링 ,KIE 기획연구실,아카데미소프트,"◆ 출제유형 완전정복하기 : 최근에 출제된 DIAT 시험의 출제유형을 분석하여 새롭게 변경된 내용과 시험에 자주 출제되는 부분을 단계별로 체크하고 작성할 수 있도록 구성하였습니다. 
◆ 유형정복 모의고사"
83,데이터분석 자격검정 실전문제,한국데이터진흥원,한국데이터진흥원,『데이터분석 자격검정 실전문제』는 전문가 자격시험을 대비하기 위해서 데이터분석 전문가 가이드 2014년 Edition  기준의 실전문제를 수록하여 시험준비에 도움이 되고자 제작하였다.
