순위,제목,저자,출판사,요약
43,린 스타트업 실전 UX 한빛미디어 IT 스타트업 시리즈 ,로라 클라인,한빛미디어,"멋진 사용자 경험은 피상적이지만 점점 중요도는 올라가고 있다. 누구나 좋아할 법한 제품, 누구나 돈을 주고 구입할 법한 제품은 결국 멋진 사용자 경험에서 나오기 때문이다. 이 책은 사용자를 이해하는"
44,린 고객 개발 한빛미디어 IT스타트업 시리즈 ,신디 앨버레즈,한빛미디어,『린 고객 개발』은 린 스타트업 방법론에서 가장 어렵다는 ‘고객 개발’에 대해 실제 사례를 들어 실증적 가이드를 제시한다. 책은 누구도 원하지 않는 서비스나 제품을 만드는 데 시간과 비용을 낭비하지
45,아마존 웹 서비스 인 액션,안드레아스 비티히,한빛미디어,"[아마존 웹 서비스 인 액션]은 AWS를 클라우드 인프라의 핵심인 컴퓨팅, 저장소, 네트워킹을 중심으로 소개한다. 구체적으로는 클라우드 컴퓨팅 개론과 계정 생성 같은 기초, AWS API로 AWS의 모든 기능을"
46,웹 기획 프로세스 모바일 & 데스크톱을 위한  IT CookBook ,강은정,한빛아카데미, 
47,PL과 FBA를 활용해 10억 버는 아마존 창업 & 운영하기,아마존찰리,휴먼하우스,"아마존 성공의 지름길은 PL과 FBA! 아마존은 연 매출 10억이 넘는 어엿한 사업을 펼칠 수 있는 세계 최고의 온라인 쇼핑몰로, 성공적인 브랜드를 만들어 수십, 수백억 원에 투자자에게 매각할 수도 있다. 이러한"
48,도매판매 완벽분석 소매보다 쉬운 도매꾹 도매매를 활용한 ,모영일,앤써북,"이 책은 유통시장 상품 공급의 원천인 제조업체, 농수축산물 생산자, 수출입업체, 도매유통업체, 유통전문MD 등이 도매꾹과 도매매를 이용하여 도매시장에 상품을 공급하는 방법에 대한 도움과 세미나를 위한"
49,블로그 마켓 혼자서도 할 수 있는  2판 ,정하림,앤써북,"이 책은 홈페이지형/쇼핑몰형 네이버 블로그마켓을 만들고, 구매력 높이는 글쓰기, 고객관리 및 단골고객 늘리고, 판매 채널 늘리기, 블로그에 결제시스템 구축, 스마트스토어 등 판매채널 확장, 등 블로그마켓"
50,스마트스토어 창업 + 디자인 + 마케팅 네이버쇼핑 상위노출에 강한 ,강윤정,앤써북,『네이버쇼핑 상위노출에 강한 스마트스토어 창업+디자인+마케팅』책은 스마트스토어의 실제 창업 절차에 따라 시장조사 및 상품 트렌드 분석부터 마케팅까지 7단계 과정을 순서대로 담았기 때문에 왕초보도 당장
51,Do it! 웹 사이트 기획 입문,이정원,이지스퍼블리싱,실무 2년보다 이 책 한 권이 낫다! 꼭꼭 눌러 담은 웹 기획의 정석을 만나라! 글로 배워서는 자전거를 탈 수 없다. 기획도 마찬가지. 저자는 기획이란 누구나 배워 익힐 수 있는 실무적인 기술이기 때문에 직접 해
52,도널드 노먼의 디자인 심리학,도널드 노먼,유엑스리뷰 UX REVIEW ,인간은 어떻게 제품을 이해하고 디자인을 받아들일까? 좋은 디자인은 인간 심리의 원리를 제대로 반영하고 있는 것이다. 현대의 디자인 과정에서는 인간의 심리를 분석하여 사용자가 무엇을 불편해하고 무엇을
53,ProtoPie 가이드북,나재휘,비제이퍼블릭,ProtoPie는 고도화되고 있는 UX 디자인 분야에 탁월하게 대응하는 High-Fidelity 프로토파이핑 소프트웨어이자 강력한 인터랙티브 콘텐츠 저작도구로서 코드를 사용하지 않고도 실제에 가까운 프로토타이핑 제품을
54,GitHub 사용 설명서,Peter Bell,교학사,"『GitHub 사용 설명서』는 GitHub를 이용해 효과적으로 협력하는 데 필요한 핵심 기술을 가르쳐준다. 포크 fork 나 복제 clone , 피처 브랜치 feature branch , 플 리퀘스트 pull request  등을 알고 있다면 이"
55,드림위버CS6 CD1장포함  스마트 시리즈 8 ,김태균,성안당,『드림위버CS6: 스스로 마스터하는 트레이닝 북』은 어도비에서 개발한 홈페이지 제작용 프로그램인 드림위버를 워드프로세서 프로그램을 이용해 문서를 제작하듯 쉽게 만들 수 있도록 안내한 책이다.
56,나도 SNS 할 수 있다!,김로사,정보문화사,"스마트폰을 통한 소통은 중요하게 활용되고 있는데, 본인만 따라가지 못하고 느낀다면 바로 이 책이 해답을 알려줄 것이다. 만나지 못해도 SNS를 통해 이야기 나누고, 사진과 영상을 주고받으며 서로 소식을"
57,SNS 가이드,성균관대학교 정보보호연구실,그린,"페이스북, 트위터, 사이월드, 미투데이, 구글 플러스 완전 활용법 『SNS 가이드』. 국내외 서비스 중 사용자들이 많이 찾는 서비스를 포함시켜 각 서비스별로 가입과정, 기본적인 기능의 사용방법, 전문적으로"
58,스토리텔링으로 풀어보는 UX 디자인 에이콘 UX 프로페셔널 시리즈 9 ,배성환,에이콘출판,"IT에 관심을 둔 사람들을 위한 「에이콘 UX 프로페셔널」 제9권 『스토리텔링으로 풀어보는 UX 디자인』. 인간을 생각하는 공간, 제품, 그리고 서비스의 사용자 중심 디자인 프로세스 5단계를 사용자 경험의"
59,Simple and Usable 단순한 디자인이 성공한다 에이콘 UX 프로페셔널 시리즈 11 ,자일즈 콜본,에이콘출판,"탁월한 서비스와 제품을 만드는 85가지 단순함의 법칙『Simple and Usable 단순한 디자인이 성공한다』. 단순한 서비스와 제품을 만드는 가이드라인을 크게 '제거, 조직화, 숨기기, 이전'의 4가지로 분류하고,"
60,인터랙션 디자인의 기본 85가지 단순함의 법칙 세트 에이콘 UX 프로페셔널 시리즈  전2권 ,자일즈 콜본,에이콘출판,"단순함의 탁월한 경지에 도달한 제품을 만들고자 하는 실무 기획자와 디자이너, 그리고 고객을 위한 『인터랙션 디자인의 기본 85가지 단순함의 법칙 세트』. 《인터랙션 디자인의 기본》은 사용자의 입장을"
61,A B 테스트를 통한 웹사이트 전환율 최적화 에이콘 검색 마케팅 웹 분석 시리즈 8 ,콜린 맥파랜드,에이콘출판,"『A B 테스트를 통한 웹사이트 전환율 최적화』는 가설을 세워 A/B 테스트, 다변량 테스트 등으로 빨리 실험해 결론을 얻어, 회사에서 더 심층적인 실험을 승인할 수 있게 하는 방법을 소개한다. 단계적으로 기업"
62,CSS 마스터 전략 CSS Mastery 개정판  에이콘 웹 프로페셔널 시리즈 ,앤디 버드,에이콘출판,"[CSS 마스터 전략 CSS Mastery]는 웹을 만들기 위해 필요한 마크업과 CSS를 익힐 수 있도록 구성한 책이다. 기본적인 CSS 개념, 실전 사례를 쉽게 설명하고, 코드 구성 방법, 주석 다는 방법, CSS 포지셔닝 모델,"
63,Fast Web Service Build Up 페스트 웹 서비스 빌드 업 : 웹서비스를 쉽고 빠르게 구축하는 기술 실무개발자,이재근,디지털북스,"『Fast Web Service Build Up』은 웹 서비스를 위해 클라이언트와 서버를 개발하는 부분은 물론, 실제 클라우드에 서비스를 올리는 데 까지를 하나의 프로젝트로 생각하여 다룬다. 클라이언트를 위한 좋은"
64,쇼핑몰 포토샵 & 상품 페이지 디자인 CD1장포함 ,신미영,디지털북스,"[쇼핑몰 포토샵 & 상품 페이지 디자인]은 쇼핑몰을 준비하고 있는 예비 운영자, 실무자 들을 위해 기초 포토샵에 대해 소개한다. 책에는 포토샵 기초 기능부터 상품 사진 보정, 상세페이지 제작까지 다루고 있다."
65,UX DESIGN,노주환,멘토르,"『UX DESIGN』은 사용자 경험 디자인에 대한 올바른 이해를 돕기 위한 해설서이다. 깊이 있는 내용보다는 소개 위주로 기술되어 있으며, 'UX 디자인이란 무엇인가?', 'UX 디자인을 잘 하려면?'이라는 질문에 대한"
66,사용자 경험을 창조하는 UX/UI 디자인 열혈강의 ,이광훈,프리렉,<사용자 경험을 창조하는 UX/UI 디자인>은 체계적인 UX 디자인 프로세스를 통해 창의적인 기획과 디자인을 원하는 실무자들을 위해 작성되었습니다. NCS에서 제시하는 UX 디자인 프로세스의 원리를 설명하고
67,아마존 웹 서비스를 다루는 기술,이재홍,길벗,"실무에서 필요한 아마존 웹 서비스의 모든 것 『아마존 웹 서비스를 다루는 기술』. 인프라에 대한 기초 지식, 아마존 웹 서비스의 개별 서비스 사용법을 학습하고 실전 시나리오에 따른 서비스 인프라 구축까지"
68,해커를 위한 디자인 레슨,데이비드 카다비,인사이트,"공학적 사고로 풀어낸 디자인 레슨 『해커를 위한 디자인 레슨』. 세상을 바꾸는 아이디어를 가진 해커에게 디자인 감각을 가르친다. ‘코믹 산스 서체는 왜 비호감 서체가 되었나?’, ‘황금비율이 언제나"
69,인터페이스 없는 인터페이스,골든 크리슈나,인사이트,"정말로 ‘좋은’ 디자인이나 진정으로 ‘혁신’적인 제품이란 무엇을 말하는 걸까? 바로 의미 있는 문제를 해결한다는 것이다, 화면 없이도. 아마존 베스트셀러인 이 책에서 저자인 크리슈나는 새로운 세대의"
70,SNS의 열 가지 얼굴 커뮤니케이션 이해 총서 ,이재현,커뮤니케이션북스,"하나의 커뮤니케이션 주제를 10개 항목으로 묶어서 엮은 「커뮤니케이션이해」 총서 『SNS의 열 가지 얼굴』. 이 책은 SNS를 기존의 사회적, 학문적 담론은 마케팅 도구, 컴퓨터 매개 커뮤니케이션, 사회관계망,"
71,모던 웹사이트 제작 만들면서 배우는 ,야무,한빛미디어,"[만들면서 배우는 모던 웹사이트 제작]은 Node.js 환경에서 Gulp를 사용하여 Jade, Sass, Susy, CoffeeScript 등을 활용하는 방법을 친절하게 설명합니다. 또한 실무자들이 Front-End 개발 환경을 간접적으로"
72,백만 방문자와 소통하는 소셜 홍보 마케팅,김진,한빛미디어,"이 책은 1인 미디어 시대에 제품 판매나 브랜드 구축을 위해 필요한 거의 모든 소셜 미디어 마케팅 도구를 담았다. 이제 막 시작한 스타트업이라면 이미 자리 잡은 수많은 경쟁 업체보다 눈에 띄기 위해 고민하고,"
73,UX 디자인 7가지 비밀,박지수,안그라픽스,"잘 알려져 있지만 제대로 활용되지 못하는 UX 디자인의 뻔한 비밀들 『UX 디자인 7가지 비밀』. UX 디자인에서 반드시 지켜야 하는, 혹은 알고도 제대로 활용하지 못하는 원칙과 방법들을 다룬 책이다. 주요 UX"
74,SNS 200배 즐기기,최재용,매일경제신문사,"트위터·페이스북·유튜브·올레온에어 마스터 하기『SNS 200배 즐기기』. 소셜미디어 전문강사 5인이 모여 기초부터 활용까지 SNS를 활용하는 방법을 소개한다. 본문은 5개의 파트로 구성되어 있으며, SNS의"
